S
I=43,J=43
25.000000, 9.000000, 0.390212
26.000000, 9.000000, 0.587664
27.000000, 9.000000, 0.814946
28.000000, 9.000000, 1.055826
29.000000, 9.000000, 1.308148
30.000000, 9.000000, 1.574906
31.000000, 9.000000, 1.892045
32.000000, 9.000000, 2.255665
33.000000, 9.000000, 2.678375
34.000000, 9.000000, 3.181592
35.000000, 9.000000, 3.794219
36.000000, 9.000000, 4.548909
37.000000, 9.000000, 5.437943
38.000000, 9.000000, 6.135491
39.000000, 9.000000, 6.096656
40.000000, 9.000000, 5.622366
41.000000, 9.000000, 5.159170
42.000000, 9.000000, 4.781360
0.000000, 10.000000, 3.136540
1.000000, 10.000000, 3.106833
2.000000, 10.000000, 3.076059
3.000000, 10.000000, 3.040695
4.000000, 10.000000, 2.998024
5.000000, 10.000000, 2.948138
6.000000, 10.000000, 2.895286
7.000000, 10.000000, 2.845702
8.000000, 10.000000, 2.810628
9.000000, 10.000000, 2.792129
10.000000, 10.000000, 2.782529
11.000000, 10.000000, 2.771363
12.000000, 10.000000, 2.745932
13.000000, 10.000000, 2.693157
14.000000, 10.000000, 2.601378
15.000000, 10.000000, 2.462152
16.000000, 10.000000, 2.273119
17.000000, 10.000000, 2.039246
18.000000, 10.000000, 1.772196
19.000000, 10.000000, 1.488103
20.000000, 10.000000, 1.204332
21.000000, 10.000000, 0.938601
22.000000, 10.000000, 0.710630
23.000000, 10.000000, 0.548826
24.000000, 10.000000, 0.492102
25.000000, 10.000000, 0.560534
26.000000, 10.000000, 0.719421
27.000000, 10.000000, 0.919977
28.000000, 10.000000, 1.140283
29.000000, 10.000000, 1.373729
30.000000, 10.000000, 1.634611
31.000000, 10.000000, 1.948494
32.000000, 10.000000, 2.306908
33.000000, 10.000000, 2.727587
34.000000, 10.000000, 3.237541
35.000000, 10.000000, 3.877080
36.000000, 10.000000, 4.710052
37.000000, 10.000000, 5.811158
38.000000, 10.000000, 5.477060
39.000000, 10.000000, 6.522845
40.000000, 10.000000, 5.826747
41.000000, 10.000000, 5.249564
42.000000, 10.000000, 4.824730
0.000000, 11.000000, 3.218544
1.000000, 11.000000, 3.196952
2.000000, 11.000000, 3.175597
3.000000, 11.000000, 3.152710
4.000000, 11.000000, 3.127551
5.000000, 11.000000, 3.100720
6.000000, 11.000000, 3.074435
7.000000, 11.000000, 3.051744
8.000000, 11.000000, 3.040417
9.000000, 11.000000, 3.041721
10.000000, 11.000000, 3.049221
11.000000, 11.000000, 3.054488
12.000000, 11.000000, 3.046340
13.000000, 11.000000, 3.010871
14.000000, 11.000000, 2.933123
15.000000, 11.000000, 2.799039
16.000000, 11.000000, 2.602340
17.000000, 11.000000, 2.348314
18.000000, 11.000000, 2.053377
19.000000, 11.000000, 1.741192
20.000000, 11.000000, 1.436771
21.000000, 11.000000, 1.162847
22.000000, 11.000000, 0.940717
23.000000, 11.000000, 0.791792
24.000000, 11.000000, 0.733468
25.000000, 11.000000, 0.766444
26.000000, 11.000000, 0.872341
27.000000, 11.000000, 1.031898
28.000000, 11.000000, 1.223583
29.000000, 11.000000, 1.432306
30.000000, 11.000000, 1.676846
31.000000, 11.000000, 1.970965
32.000000, 11.000000, 2.306489
33.000000, 11.000000, 2.699759
34.000000, 11.000000, 3.174461
35.000000, 11.000000, 3.763168
36.000000, 11.000000, 4.507042
37.000000, 11.000000, 5.417127
38.000000, 11.000000, 6.134151
39.000000, 11.000000, 6.064881
40.000000, 11.000000, 5.535997
41.000000, 11.000000, 5.057160
42.000000, 11.000000, 4.684286
0.000000, 12.000000, 3.309909
1.000000, 12.000000, 3.297744
2.000000, 12.000000, 3.287517
3.000000, 12.000000, 3.278197
4.000000, 12.000000, 3.269988
5.000000, 12.000000, 3.263741
6.000000, 12.000000, 3.260800
7.000000, 12.000000, 3.262465
8.000000, 12.000000, 3.274703
9.000000, 12.000000, 3.299265
10.000000, 12.000000, 3.330973
11.000000, 12.000000, 3.363256
12.000000, 12.000000, 3.386180
13.000000, 12.000000, 3.385704
14.000000, 12.000000, 3.341516
15.000000, 12.000000, 3.229362
16.000000, 12.000000, 3.033152
17.000000, 12.000000, 2.756883
18.000000, 12.000000, 2.423747
19.000000, 12.000000, 2.069952
20.000000, 12.000000, 1.731624
21.000000, 12.000000, 1.436775
22.000000, 12.000000, 1.205060
23.000000, 12.000000, 1.050022
24.000000, 12.000000, 0.977643
25.000000, 12.000000, 0.982577
26.000000, 12.000000, 1.048653
27.000000, 12.000000, 1.157787
28.000000, 12.000000, 1.300378
29.000000, 12.000000, 1.474546
30.000000, 12.000000, 1.692093
31.000000, 12.000000, 1.952824
32.000000, 12.000000, 2.248449
33.000000, 12.000000, 2.590760
34.000000, 12.000000, 2.994673
35.000000, 12.000000, 3.475268
36.000000, 12.000000, 4.035714
37.000000, 12.000000, 4.623885
38.000000, 12.000000, 5.054315
39.000000, 12.000000, 5.118757
40.000000, 12.000000, 4.910429
41.000000, 12.000000, 4.633182
42.000000, 12.000000, 4.379807
0.000000, 13.000000, 3.408572
1.000000, 13.000000, 3.406546
